ticker,sticker,current
REED,0.0001348459414158522,1.005
ACW,-857.0044136854393,nan
ALTR_delis,10.809237375916268,nan
NLST,-4058.148918102569,0.0
MBOT,-1.0726684416581584e+17,7.91
ABT,13.649986850958102,116.455
IDXX,-66488315194.187874,502.5
MCD,6097.839451405767,207.8
CMBG,4.472797421669469,nan
MNI,-5201356.009445868,nan
IPGP,89.54011894961563,200.37
NDAQ,3.6846821971670156,143.1
C649,-118739600.72531173,nan
PBH,-4.669542837263114,43.97
PRSC,0.31771469673437935,155.31
SSYS,62.81050931482397,23.85
PPSI,-0.44443705980247505,4.885
VISI,0.86318764920235,nan
AMRK,1.6270865873380846,28.675
AMGN,-13.783413263489916,227.7
MTOR,790.4536573621593,30.1
AOS,4.403586012791975,36.06
RHE,0.00537179921164362,5.52
